"Electric power generation, monthly generation by type of electricity 1 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of electricity generation,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
,Megawatt hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total all types of electricity generation,"4,943,603r","4,495,085r","4,854,214r","3,345,653","2,927,314","2,432,385","2,483,953","2,456,943","2,177,383","3,074,156","4,066,568","4,440,899","4,905,508","4,249,478","4,341,988","2,902,526","2,349,370","2,292,002","2,312,424","2,896,882","2,798,696","3,252,153","4,338,125","4,844,120","5,076,963","4,283,243","4,782,668","2,628,736","2,094,081","2,222,508","2,054,218","2,289,875","2,342,381","2,560,343","3,936,048","4,797,702","4,892,944","4,379,738","4,694,236","3,621,854","3,096,576","2,615,620","2,864,933","3,006,122","2,718,220","3,124,105","4,165,664","4,906,165","4,843,223","4,465,845","4,711,954","3,597,623","2,907,933","2,065,774","2,598,207","2,709,383","2,532,075","3,101,333","4,301,583","4,801,422","4,842,059","4,517,262","4,687,578","3,465,712","2,535,101","2,331,648","2,260,482","2,185,726","2,256,736","2,829,695","3,533,101","4,563,529","4,705,625","4,263,553","4,577,863","3,450,570","3,035,378","2,563,074","2,506,284","2,493,258","2,588,958","2,887,293","3,988,086","4,444,787","4,501,677","4,119,837","4,202,358","3,356,896","2,939,704","2,822,154","2,791,548","2,773,519","2,898,681","3,059,730","4,113,775","3,982,170","4,619,205","4,638,345","4,962,936","3,949,694","3,202,546","2,695,193","3,047,061","3,139,042","2,993,643","3,335,319","4,632,345","4,896,408","5,098,267","4,595,080","4,942,440","4,252,323","3,199,211","2,511,328","2,743,005","2,707,557","2,156,574","2,131,398","3,128,598","4,898,372","4,835,628"
Hydraulic turbine 3,"4,681,548","4,266,476r","4,615,943r","3,188,407","2,801,784","2,343,471","2,402,701","2,398,464","2,109,563","2,975,088","3,847,847","4,179,115","4,581,599","3,950,032","4,025,290","2,677,767","2,206,260","2,172,538","2,222,679","2,796,808","2,688,444","3,106,086","4,145,394","4,551,271","4,781,946","4,020,204","4,497,270","2,424,743","1,902,019","2,107,840","1,964,579","2,191,296","2,242,778","2,402,138","3,685,370","4,495,169","4,586,629","4,167,783","4,516,594","3,446,076","2,921,288","2,525,244","2,812,476","2,907,772","2,615,753","3,001,746","3,959,421","4,644,322","4,580,511","4,202,498","4,518,574","3,475,909","2,778,054","1,995,471","2,557,378","2,676,245","2,418,041","2,867,458","4,093,578","4,577,001","4,611,538","4,259,702","4,451,540","3,350,244","2,417,970","2,258,407","2,211,840","2,135,858","2,200,636","2,707,292","3,349,963","4,369,072","4,521,840","4,063,778","4,375,716","3,300,828","2,938,348","2,508,251","2,477,457","2,457,828","2,517,803","2,759,970","3,800,687","4,249,900","4,278,728","3,901,971","4,004,774","3,215,304","2,850,260","2,765,678","2,739,992","2,745,532","2,856,326","2,979,558","3,984,732","3,833,618","4,460,461","4,489,844","4,816,360","3,829,176","3,130,113","2,652,152","3,005,822","3,100,396","2,952,477","3,251,796","4,506,501","4,743,390","4,939,785","4,440,624","4,789,981","4,129,417","3,118,776","2,469,662","2,705,617","2,662,234","2,106,756","1,986,377","2,984,627","4,736,604","4,670,397"
Conventional steam turbine 4,"223,662","190,013","190,482","121,789","98,959","56,427","49,940","20,405","41,193","78,763","174,856","211,961",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nuclear steam turbine 5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internal combustion turbine 6,"5,342","4,547","4,657","4,434","3,505","3,553","3,957","4,266","3,319","4,156","3,931","5,231",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustion turbine 7,"21,616","24,420","34,560","25,256","17,142","22,629","21,481","27,818","15,745","7,725","32,014","33,209",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity production from combustible fuels 8,..,..,..,..,..,..,..,..,..,..,..,..,"303,692","282,040","298,945","208,418","127,657","107,112","76,740","88,973","96,629","130,012","177,585","273,652","276,523","248,949","266,146","187,920","176,670","98,590","78,485","88,033","87,545","144,299","232,292","284,173","287,328","193,406","156,539","154,036","155,417","76,054","36,286","86,484","89,152","106,707","187,973","242,513","246,042","244,515","175,292","103,527","115,376","60,492","32,869","24,859","99,913","217,626","186,643","206,547","218,012","242,771","217,990","98,990","99,318","63,282","39,986","38,143","40,830","108,497","163,096","175,196","166,458","181,240","183,929","131,434","79,577","41,885","16,859","30,081","60,573","120,200","178,352","184,242","206,191","198,905","179,005","123,331","81,098","49,463","39,198","17,769","26,661","69,209","106,874","129,949","142,408","131,990","126,010","103,721","54,222","31,526","32,594","30,351","30,276","69,733","111,395","136,764","138,904","135,031","135,848","104,006","69,935","28,566","28,888","32,923","40,318","130,121","129,271","146,068","146,831"
Tidal power turbine 9,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind power turbine 10,"11,435r","9,629","8,572","5,767","5,924","6,305","5,874","5,990","7,563","8,424","7,920","11,383","20,217","17,406","17,753","16,341","15,453","12,352","13,005","11,101","13,623","16,055","15,146","19,197","18,494","14,090","19,252","16,073","15,392","16,078","11,154","10,546","12,058","13,906","18,386","18,360","18,987","18,549","21,103","21,742","19,871","14,322","16,171","11,866","13,315","15,652","18,270","19,330","16,670","18,832","18,088","18,187","14,503","9,811","7,960","8,279","14,121","16,249","21,362","17,874","12,509","14,789","18,048","16,478","17,813","9,959","8,656","11,725","15,270","13,906","20,042","19,261","17,327","18,535","18,218","18,308","17,453","12,938","11,968","5,349","10,582","7,123","9,047","10,645","16,758","18,961","18,579","18,261","8,346","7,013","12,358","10,218","15,694","10,963","22,169","18,603","16,336","16,511","20,566","16,797","18,211","11,515","8,645","8,295","10,890","13,790","14,449","16,254","19,578","19,425","16,611","18,900","10,500","13,100","8,500","12,400","9,500","14,900","14,700","15,700","18,400"
Solar 11,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other types of electricity generation,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 25-10-0015-01  Electric power generation, monthly generation by type of electricity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510001501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
